A̱o,Mes,Super_95,Diesel
2017,01,1.242,1.128
2017,02,1.25,1.1275
2017,03,1.23,1.115
2017,04,1.24,1.11
2017,05,1.22,1.09
2017,06,1.1875,1.0575
2017,07,1.176,1.05
2017,08,1.19,1.07
2017,09,1.21,1.085
2017,10,1.206,1.108
2017,11,1.2349999999999999,1.135
2017,12,1.24,1.1366666666666665
2018,01,1.25,1.16
2018,02,1.24,1.1424999999999998
2018,03,1.2275,1.1349999999999998
2018,04,1.2650000000000001,1.1675
2018,05,1.3125,1.2175
2018,06,1.33,1.2325
2018,07,1.324,1.224
2018,08,1.3275000000000001,1.23
2018,09,1.3375000000000001,1.2475
2018,10,1.346,1.272
2018,11,1.3075,1.2525
2018,12,1.2233333333333334,1.18
2019,01,1.2025,1.1575
2019,02,1.2375,1.1975
2019,03,1.2675,1.23
2019,04,1.32,1.24
2019,05,1.36,1.26
2019,06,1.32,1.2149999999999999
2019,07,1.32,1.206
2019,08,1.3175000000000001,1.2075
2019,09,1.31,1.214
2019,10,1.3050000000000002,1.2125
2019,11,1.3,1.2175
2019,12,1.3033333333333335,1.22
2020,01,1.3225,1.2475
2020,02,1.3025,1.2075
2020,03,1.224,1.126
2020,04,1.1066666666666667,1.02
2020,05,1.0775000000000001,0.985
2020,06,1.0950000000000002,1.005
2020,08,1.16,1.06
2020,09,1.16,1.0333333333333334
2020,10,1.16,1.03
2020,11,1.154,1.024
2020,12,1.1766666666666665,1.06
2021,01,1.2166666666666666,1.0966666666666667
2021,02,1.2475,1.1275
2021,03,1.304,1.174
2021,04,1.3233333333333335,1.18
2021,05,1.344,1.204
2021,06,1.37,1.2349999999999999
2021,07,1.4024999999999999,1.26
2021,08,1.418,1.266
2021,09,1.4324999999999999,1.2775
2021,10,1.475,1.3450000000000002
2021,11,1.51,1.382
2021,12,1.4833333333333334,1.3500000000000003
